,0
0,0.031952619552612305
1,0.03171181678771973
2,0.031179428100585938
3,0.03102397918701172
4,0.030205488204956055
5,0.030934572219848633
6,0.030903339385986328
7,0.0309140682220459
8,0.030371665954589844
9,0.030270099639892578
10,0.04072165489196777
11,0.030853271484375
12,0.03097987174987793
13,0.03126049041748047
14,0.031055450439453125
15,0.031157732009887695
16,0.03091716766357422
17,0.029765605926513672
18,0.0293424129486084
19,0.03004288673400879
20,0.030521631240844727
21,0.03014397621154785
22,0.029664993286132812
23,0.02982473373413086
24,0.03020501136779785
25,0.030226945877075195
26,0.02965092658996582
27,0.029504776000976562
28,0.031042814254760742
29,0.03587603569030762
30,0.030422210693359375
31,0.03035259246826172
32,0.031108617782592773
33,0.030780315399169922
34,0.03058314323425293
35,0.030797481536865234
36,0.030729055404663086
37,0.03148937225341797
38,0.02941727638244629
39,0.030036211013793945
40,0.030608415603637695
41,0.030564308166503906
42,0.03124070167541504
43,0.030281543731689453
44,0.03076648712158203
45,0.03028559684753418
46,0.030611515045166016
47,0.031217098236083984
48,0.030308246612548828
49,0.031328439712524414
