,0
0,0.009448766708374023
1,0.002412557601928711
2,0.0023343563079833984
3,0.002028226852416992
4,0.0018537044525146484
5,0.0019979476928710938
6,0.002022266387939453
7,0.0021448135375976562
8,0.0021560192108154297
9,0.0018405914306640625
10,0.0017864704132080078
11,0.0018205642700195312
12,0.001775979995727539
13,0.0019335746765136719
14,0.0019843578338623047
15,0.0019745826721191406
16,0.0019452571868896484
17,0.0028069019317626953
18,0.0020275115966796875
19,0.0018410682678222656
20,0.0018322467803955078
21,0.001953125
22,0.0019421577453613281
23,0.0022630691528320312
24,0.0019927024841308594
25,0.0018277168273925781
26,0.001834869384765625
27,0.002020597457885742
28,0.0023665428161621094
29,0.0019309520721435547
30,0.00205230712890625
31,0.002126932144165039
32,0.001943826675415039
33,0.0019736289978027344
34,0.002016782760620117
35,0.001842498779296875
36,0.0017442703247070312
37,0.0017278194427490234
38,0.001833200454711914
39,0.0024919509887695312
40,0.0017943382263183594
41,0.0017862319946289062
42,0.001749277114868164
43,0.0018558502197265625
44,0.0016834735870361328
45,0.001809835433959961
46,0.0016143321990966797
47,0.0018877983093261719
48,0.0019099712371826172
49,0.0025756359100341797
