,0
0,0.03523707389831543
1,0.030480384826660156
2,0.03117513656616211
3,0.030696630477905273
4,0.03051614761352539
5,0.03076767921447754
6,0.030576229095458984
7,0.030553579330444336
8,0.030445098876953125
9,0.03021860122680664
10,0.03345179557800293
11,0.03133726119995117
12,0.03017425537109375
13,0.031601905822753906
14,0.03185319900512695
15,0.030926942825317383
16,0.030562400817871094
17,0.030948400497436523
18,0.030524015426635742
19,0.03035283088684082
20,0.0307157039642334
21,0.030776262283325195
22,0.030975818634033203
23,0.042577505111694336
24,0.029799222946166992
25,0.03187370300292969
26,0.031233549118041992
27,0.03040599822998047
28,0.03096914291381836
29,0.03003716468811035
30,0.03053426742553711
31,0.030322790145874023
32,0.03136420249938965
33,0.03216409683227539
34,0.030579805374145508
35,0.03099656105041504
36,0.031177759170532227
37,0.03448843955993652
38,0.03164196014404297
39,0.030309677124023438
40,0.031066417694091797
41,0.03139328956604004
42,0.03200984001159668
43,0.030859708786010742
44,0.030643939971923828
45,0.03261160850524902
46,0.030505657196044922
47,0.03088521957397461
48,0.030594348907470703
49,0.031195640563964844
