,0
0,0.947049617767334
1,0.9497065544128418
2,0.9376668930053711
3,0.9552218914031982
4,0.9559698104858398
5,0.9407613277435303
6,0.9877727031707764
7,0.9424912929534912
8,1.0188851356506348
9,0.9378516674041748
10,0.9391810894012451
11,0.9487173557281494
12,0.9340081214904785
13,0.9549174308776855
14,0.9427084922790527
15,0.9433870315551758
16,0.9377985000610352
17,0.9332783222198486
18,0.9550485610961914
19,0.9649794101715088
20,0.9385135173797607
21,0.9554917812347412
22,0.9606225490570068
23,0.9713876247406006
24,0.9428832530975342
25,0.9423999786376953
26,0.9379348754882812
27,0.9436988830566406
28,0.9522473812103271
29,0.9639980792999268
30,0.9300460815429688
31,0.9488754272460938
32,0.9326224327087402
33,0.9665849208831787
34,0.9470105171203613
35,0.9386820793151855
36,0.9438073635101318
37,0.9805610179901123
38,0.9712495803833008
39,0.9870209693908691
40,0.9348437786102295
41,0.9355778694152832
42,0.9325046539306641
43,0.9834837913513184
44,0.996574878692627
45,0.9607021808624268
46,0.9620428085327148
47,0.9750101566314697
48,0.9621407985687256
49,0.9460177421569824
