,0
0,1.899916410446167
1,1.963066577911377
2,1.8909516334533691
3,1.8740782737731934
4,1.8242237567901611
5,1.822047233581543
6,1.9751498699188232
7,1.8787026405334473
8,1.8568131923675537
9,1.8760380744934082
10,1.8331353664398193
11,1.8458583354949951
12,1.8335938453674316
13,1.8006556034088135
14,1.8617749214172363
15,1.8245768547058105
16,1.8139605522155762
17,1.8421320915222168
18,1.805023431777954
19,1.8300676345825195
20,1.8450403213500977
21,1.808476448059082
22,1.8573169708251953
23,1.8267097473144531
24,1.8101494312286377
25,1.9261651039123535
26,1.7983527183532715
27,1.814591407775879
28,1.8373641967773438
29,1.835017204284668
30,1.8244857788085938
31,1.7931113243103027
32,1.8272626399993896
33,1.8267714977264404
34,1.7991902828216553
35,1.8332576751708984
36,1.7973284721374512
37,1.8005220890045166
38,1.8898200988769531
39,1.8983433246612549
40,1.8823857307434082
41,1.8557870388031006
42,1.8002943992614746
43,1.826730728149414
44,1.8054635524749756
45,1.8083081245422363
46,1.8335556983947754
47,1.7900431156158447
48,1.8007214069366455
49,1.8301353454589844
