,0
0,0.0015506744384765625
1,0.0009293556213378906
2,0.0008409023284912109
3,0.0009579658508300781
4,0.0008108615875244141
5,0.0010695457458496094
6,0.001322031021118164
7,0.0007660388946533203
8,0.0007691383361816406
9,0.0017642974853515625
10,0.0009467601776123047
11,0.0012426376342773438
12,0.0013043880462646484
13,0.0009822845458984375
14,0.001218557357788086
15,0.0008358955383300781
16,0.0008378028869628906
17,0.0008478164672851562
18,0.0010132789611816406
19,0.0017132759094238281
20,0.0008692741394042969
21,0.0010218620300292969
22,0.0009191036224365234
23,0.0009589195251464844
24,0.0008482933044433594
25,0.0008132457733154297
26,0.0009005069732666016
27,0.0012347698211669922
28,0.0011131763458251953
29,0.0008096694946289062
30,0.0011386871337890625
31,0.0009105205535888672
32,0.0009059906005859375
33,0.0009496212005615234
34,0.0011339187622070312
35,0.0008549690246582031
36,0.0009090900421142578
37,0.0008795261383056641
38,0.0009884834289550781
39,0.00092315673828125
40,0.0009653568267822266
41,0.0008814334869384766
42,0.0008594989776611328
43,0.00084686279296875
44,0.0008249282836914062
45,0.0008132457733154297
46,0.0014967918395996094
47,0.0008676052093505859
48,0.0008630752563476562
49,0.0010454654693603516
